Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Abstract
Life expectancy and years of potential life lost in people with mental disorders: a systematic review and meta-analysis.,Chan JKN; Correll CU; Wong CSM; Chu RST; Fung VSC; Wong GHS; Lei JHC; Chang WC,"BACKGROUND: Mental disorders are associated with premature mortality. There is increasing research examining life expectancy and years-of-potential-life-lost (YPLL) to quantify the disease impact on survival in people with mental disorders. We aimed to systematically synthesize studies to estimate life expectancy and YPLL in people with any and specific mental disorders across a broad spectrum of diagnoses. METHODS: In this systematic review and meta-analysis, we searched Embase, MEDLINE, PsychINFO, WOS from inception to July 31, 2023, for published studies reporting life expectancy and/or YPLL for mental disorders. Criteria for study inclusion were: patients of all ages with any mental disorders; reported data on life expectancy and/or YPLL of a mental-disorder cohort relative to the general population or a comparison group without mental disorders; and cohort studies. We excluded non-cohort studies, publications containing non-peer-reviewed data or those restricted to population subgroups. Survival estimates, i.e., life expectancy and YPLL, were pooled (based on summary data extracted from the included studies) using random-effects models. Subgroup analyses and random-effects meta-regression analyses were performed to explore sources of heterogeneity. Risk-of-bias assessment was evaluated using the Newcastle-Ottawa Scale. This study is registered with PROSPERO (CRD42022321190). FINDINGS: Of 35,865 studies identified in our research, 109 studies from 24 countries or regions including 12,171,909 patients with mental disorders were eligible for analysis (54 for life expectancy and 109 for YPLL). Pooled life expectancy for mental disorders was 63.85 years (95% CI 62.63-65.06; I(2) = 100.0%), and pooled YPLL was 14.66 years (95% CI 13.88-15.98; I(2) = 100.0%). Disorder-stratified analyses revealed that substance-use disorders had the shortest life expectancy (57.07 years [95% CI 54.47-59.67]), while neurotic disorders had the longest lifespan (69.51 years [95% CI 67.26-71.76]). Substance-use disorders exhibited the greatest YPLL (20.38 years [95% CI 18.65-22.11]), followed by eating disorders (16.64 years [95% CI 7.45-25.82]), schizophrenia-spectrum disorders (15.37 years [95% CI 14.18-16.55]), and personality disorders (15.35 years [95% CI 12.80-17.89]). YPLLs attributable to natural and unnatural deaths in mental disorders were 4.38 years (95% CI 3.15-5.61) and 8.11 years (95% CI 6.10-10.13; suicide: 8.31 years [95% CI 6.43-10.19]), respectively. Stratified analyses by study period suggested that the longevity gap persisted over time. Significant cross-study heterogeneity was observed. INTERPRETATION: Mental disorders are associated with substantially reduced life expectancy, which is transdiagnostic in nature, encompassing a wide range of diagnoses. Implementation of comprehensive and multilevel intervention approaches is urgently needed to rectify lifespan inequalities for people with mental disorders. FUNDING: None.",2023,Nov,EClinicalMedicine,65,,102294,,10.1016/j.eclinm.2023.102294,37965432,#49,ChanJKN 2023,"Kelsey Hagan (2025-07-11 04:20:12)(Select): Included because I think we agreed that we would include studies where ED was a sub-group analysis? (happy to be wrong, though!); ",ED is a sub-group analysis only; Longer term outcomes; Mortality,
Food insecurity and binge eating: A systematic review and meta-analysis.,Abene JA; Tong J; Minuk J; Lindenfeldar G; Chen Y; Chao AM,"OBJECTIVE: This review synthesized literature on the relationship between food insecurity and binge eating. METHODS: Relevant studies were identified by searching PubMed, CINAHL, PsycINFO, and gray literature from inception to October 2022. Eligible studies included primary research that assessed the relationship between food insecurity and binge eating. Data extraction was performed independently by two reviewers. Pooled odds ratios and 95% confidence intervals (CI) were obtained from random effect models with the R package meta. Analyses were stratified by binge eating versus binge-eating disorder (BED), study type (cross-sectional vs. longitudinal), and age (adults vs. adolescents). RESULTS: We included 24 articles that reported on 20 studies, and 13 articles were included in the meta-analysis. Based on the random effects meta-analysis, the odds of adults in the food insecure group having binge eating were 1.66 (95% CI = 1.42, 1.93) times the odds of adults in the food secure group having binge eating. The odds of adults in the food insecure group having BED were 2.70 (95% CI = 1.47, 4.96) times the odds of adults in the food secure group having BED. Insufficient data were available for a meta-analysis on adolescents or longitudinal relationships. CONCLUSIONS: These findings support that food insecurity is associated with binge eating in adults. There is a need for research to investigate the mechanisms underlying this relationship. Results highlight the importance of screening participants with food insecurity for disordered eating behaviors and vice versa. Future research is needed to examine whether interventions targeting food insecurity may help to mitigate disordered eating behaviors. PUBLIC SIGNIFICANCE: Food insecurity is a common but under-recognized contributor to binge eating. In this article, we systematically reviewed research that has been published on the relationship between food insecurity and binge eating. We found support that food insecurity should be considered in the prevention and treatment of binge eating.",2023,Jul,Int J Eat Disord,56,7,1301-1322,,10.1002/eat.23956,37040535,#50,Abene 2023,,,
Efficacy of Pharmacotherapies for Bulimia Nervosa: A Systematic Review and Meta-Analysis.,Yu S; Zhang Y; Shen C; Shao F,"OBJECTIVE: The main purpose was to evaluate the efficacy and tolerability of different medications used to treat bulimia nervosa (BN). METHODS: Randomized controlled trials (RCTs) were identified from published sources through searches in PubMed, Cochrane Library, Web of Science, and Embase from inception to November 2022. Primary outcomes were changes in the frequency of binge eating episodes and vomiting episodes from baseline to endpoint. Secondary outcomes were differences in the improvement of scores in depressive symptoms, tolerability (dropout due to adverse events) and weight change. RESULTS: The literature search ultimately included 11 drugs, 33 studies and 6 types of drugs, 8 trials with TCAs (imipra-mine, desipramine), 14 with SSRIs (fluoxetine, citalopram and fluvoxamine), 6 with MAOIs (phenelzine, moclobemide and brofaromine), 3 with antiepileptic drugs (topiramate), 1 with mood stabilizers (lithium), and 1 with amphetamine-type appetite suppressant (fenfluramine). The reduction in binge eating episodes was more likely due to these drugs than the placebo, and the SMD was -0.4 (95% CI -0.61 ∼ -0.19); the changes in the frequency of vomiting episodes (SMD = -0.16, 95% CI -0.3 ∼ -0.03); weight (WMD = -3.05, 95% CI -5.97 ∼ -0.13); and depressive symptoms (SMD =-0.32, 95% CI -0.51 ∼ -0.13). However, no significant difference was found in dropout due to adverse events (RR = 1.66, 95% CI 1.14 ∼ 2.41). CONCLUSIONS: This meta-analysis indicates that most pharmacotherapies decreased the frequency of binge-eating and vomiting episodes, body weight, and depressive symptoms in BN patients, but the efficacy was not significant. In each drug the efficacy is different, treating different aspects, different symptoms to improve the clinical performance of bulimia nervosa.Appeared originally in BMC Pharmacol Toxicol 2023; 24:72.",2024,Jul,Focus (Am Psychiatr Publ),22,3,388-399,,10.1176/appi.focus.24022011,38988470,#51,Yu 2024,,Bulimia; Pharmacotherapy,
Eating disorder symptomatology among transgender individuals: a systematic review and meta-analysis.,Rasmussen SM; Dalgaard MK; Roloff M; Pinholt M; Skrubbeltrang C; Clausen L; Kjaersdam Telléus G,"OBJECTIVE: The purpose of this systematic review and meta-analysis was to synthesize the literature on eating disorders and eating disorder symptomatology among transgender individuals and to summarize the existing literature on gender-affirming treatment and the prevalence of eating disorder symptomatology. METHOD: The literature search for this systematic review and meta-analysis was performed in PubMed, Embase.com, and Ovid APA PsycInfo. We searched for ""eating disorders"" and ""transgender"" using both controlled vocabularies and natural language terms for their synonyms. The PRISMA statement guidelines were followed. Quantitative data from studies on transgender individuals and eating disorders assessed with relevant assessment tools was included. RESULTS: Twenty-four studies were included for the qualitative synthesis, and 14 studies were included in the meta-analysis. The results revealed higher levels of eating disorder symptomatology among transgender individuals compared with cisgender individuals, especially cisgender men. Transgender men tend to display higher levels of eating disorder symptomatology than transgender women; however, transgender women seem to have higher levels of eating disorder symptomatology than cisgender men and, interestingly, this study also noted a trend toward transgender men having higher levels of eating disorders than cisgender women. Gender-affirming treatment seems to alleviate the presence of eating disorder symptomatology in transgender individuals. DISCUSSION: The body of research on this subject is extremely limited, and transgender individuals are underrepresented in the eating disorder literature. More research investigating eating disorders and eating disorder symptomatology in transgender individuals and the relationship between gender-affirming treatment and eating disorder symptomatology is needed.",2023,May,J Eat Disord,11,1,84,,10.1186/s40337-023-00806-y,37237320,#53,Rasmussen 2023,Pablo del Sol Calderon (2025-07-26 02:25:27)(Select): I said yes because EDI is diagnostic tool?; ,Prevalence rates,
The Co-Occurrence of Autism and Avoidant/Restrictive Food Intake Disorder (ARFID): A Prevalence-Based Meta-Analysis.,Sader M; Weston A; Buchan K; Kerr-Gaffney J; Gillespie-Smith K; Sharpe H; Duffy F,"OBJECTIVE: Avoidant/restrictive food intake disorder (ARFID) is a feeding and eating disorder characterized by extensive avoidance and/or restriction of food. Existing research demonstrates that ARFID is over-represented in Autistic populations and vice-versa, with both groups exhibiting shared characteristics. This meta-analysis investigated the co-occurrence between ARFID and autism via determination of autism prevalence in ARFID populations, and ARFID prevalence in Autistic groups. METHOD: This review systematically identified literature evaluating those with ARFID and Autistic individuals. Literature was searched for using SCOPUS, MEDLINE, and Web of Science. Selected publications included Autistic individuals and those with ARFID who either received a formal diagnosis of autism and/or ARFID or met clinical threshold cut-off scores on validated autism and/or ARFID questionnaires. Prevalence was reported in proportion-based values alongside 95% confidence intervals (CIs). RESULTS: This meta-analysis identified 21 studies (kARFID = 18 papers; kAutism = 3 papers) comprising of n = 7442 participants (nARFID = 1708; nAutism = 5734). Prevalence of autism diagnoses was 16.27% in those with ARFID (95% CI = 8.64%-28.53%), and ARFID prevalence in Autistic groups was 11.41% (95% CI = 2.89%-35.76%). Gender and ethnicity served as significant sources of heterogeneity in ARFID papers. There was insufficient data to provide comparator values or prevalence across study population and distinct underpinning drivers of ARFID. DISCUSSION: Meta-analytic findings highlight significant rates of co-occurrence between autism and ARFID, suggesting that in clinical settings, it may be beneficial to consider screening Autistic individuals for ARFID and vice-versa. Future research should further investigate co-occurrence across ARFID profiles, gender, and ethnicity.",2025,Mar,Int J Eat Disord,58,3,473-488,,10.1002/eat.24369,39760303,#54,Sader 2025,,,
The transition from restrictive anorexia nervosa to binging and purging: a systematic review and meta-analysis.,Serra R; Di Nicolantonio C; Di Febo R; De Crescenzo F; Vanderlinden J; Vrieze E; Bruffaerts R; Loriedo C; Pasquini M; Tarsitani L,"Numerous studies addressed the topic of behavioral and symptomatic changes in eating disorders. Rates of transition vary widely across studies, ranging from 0 to 70.8%, depending on the diagnoses taken into account and the study design. Evidence shows that the specific transition from restrictive-type anorexia nervosa (AN-R) to disorders involving binging and purging behaviors (BPB) is related to a worsening of the clinical picture and worse long-term outcomes. The aim of this systematic review and meta-analysis is to focus on this specific transition, review existing literature, and summarize related risk factors. Medline and PsycINFO databases were searched, including prospective and retrospective studies on individuals with AN-R. The primary outcome considered was the rate of onset of BPB. Twelve studies (N = 725 patients) were included in the qualitative and quantitative analysis. A total of 41.84% (95% CI 33.58-50.11) of patients with AN-R manifested BPB at some point during follow-up. Risk factors for the onset of BPB included potentially treatable and untreatable factors such as the family environment, unipolar depression and higher premorbid BMI. These findings highlight that patients with AN-R frequently transition to BPB over time, with a worsening of the clinical picture. Existing studies in this field are still insufficient and heterogeneous, and further research is needed. Mental health professionals should be aware of the frequent onset of BPB in AN-R and its risk factors and take this information into account in the treatment of AN-R. LEVEL OF EVIDENCE: Evidence obtained from a systematic review and meta-analysis, Level I.",2022,Apr,Eat Weight Disord,27,3,857-865,,10.1007/s40519-021-01226-0,34091875,#57,Serra 2022,,ED phenomenology; Longer term outcomes,
Increased Prevalence of Binge Eating Disorder and Bulimia Nervosa in Women With Polycystic Ovary Syndrome: A Systematic Review and Meta-Analysis.,Cooney LG; Gyorfi K; Sanneh A; Bui LM; Mousa A; Tay CT; Teede H; Stener-Victorin E; Brennan L,"CONTEXT: Polycystic ovary syndrome (PCOS) is associated with disordered eating/eating disorders, but prior meta-analyses are limited by small numbers. OBJECTIVE: To inform the 2023 International PCOS Guideline, we performed a systematic review and meta-analysis evaluating the prevalence of disordered eating/eating disorders among women with and without PCOS. METHODS: Ovid MEDLINE, EMBASE, PsycInfo, and All EMB were searched from inception through February 1, 2024, for studies that compared prevalences of eating disordered/disordered eating in adolescent or adult women. Random effects meta-analyses were used to estimate the pooled odds ratios (OR) or standardized mean differences (SMD) of outcomes in women with PCOS compared to controls. Methodological quality was assessed by the Grading of Recommendations, Assessment, Development and Evaluations (GRADE) system, and included studies were assessed for risk of bias. RESULTS: Of 1352 articles identified, 20 were included, with a total of 28 922 women with PCOS and 258 619 controls. Individuals with PCOS had higher odds of any eating disorder (OR: 1.53 [1.29, 1.82], 8 studies), which persisted in studies where PCOS was diagnosed by Rotterdam criteria (OR: 2.88 [1.55, 5.34], 4 studies). Odds of bulimia nervosa, binge eating disorder, and disordered eating, but not anorexia nervosa, were increased in PCOS. Mean disordered eating scores were higher in PCOS (SMD: 0.52 [0.28, 0.77], 13 studies), including when stratified by normal and higher weight body mass index. Most included studies were of moderate quality, with no evidence of publication bias. CONCLUSION: Our study informs the 2023 PCOS Guideline recommendations for consideration of the risk of disordered eating/ eating disorders in care of women with PCOS, regardless of weight, especially during providing lifestyle counseling.",2024,Nov,J Clin Endocrinol Metab,109,12,3293-3305,,10.1210/clinem/dgae462,39115340,#58,Cooney 2024,,Binge-eating disorder; Bulimia; Prevalence rates,
Physical health complications in children and young people with avoidant restrictive food intake disorder (ARFID): a systematic review and meta-analysis.,James RM; O'Shea J; Micali N; Russell SJ; Hudson LD,"BACKGROUND: Avoidant restrictive food intake disorder (ARFID) is a feeding and eating disorder with known acute and longstanding physical health complications in children and young people (CYP) and commonly presents to paediatricians. OBJECTIVE: To systematically review the published literature on physical health complications in CYP with ARFID using Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. METHODS: A systematic search of PubMed, Embase, Web of Science, PsycINFO and Cochrane Library was performed on 14 February 2024. Studies reporting physical health complications in CYP ≤25 years with ARFID were included. We pooled studies for meta-analysis comparing ARFID with healthy controls or anorexia nervosa (AN). RESULTS: Of 9058 studies found in searches, we included 132 studies. We found evidence for low weight, nutritional deficiencies and low bone mineral density. CYP with ARFID can present across the weight spectrum; however, the majority of CYP with ARFID were within the healthy weight to underweight range. Most studies reported normal range heart rates and blood pressures in ARFID, but some CYP with ARFID do experience bradycardia and hypotension. CYP with ARFID had higher heart rates than AN (weighted mean difference: 12.93 bpm; 95% CI: 8.65 to 17.21; n=685); heterogeneity was high (I(2): 81.33%). CONCLUSION: There is a broad range of physical health complications associated with ARFID requiring clinical consideration. Many CYP with ARFID are not underweight yet still have complications. Less cardiovascular complications found in ARFID compared with AN may be related to chronicity. PROSPERO REGISTRATION NUMBER: CRD42022376866.",2024,Jul,BMJ Paediatr Open,8,1,,,10.1136/bmjpo-2024-002595,38977355,#59,James 2024,,ARFID; Medical complications,
Length of stay for anorexia nervosa: Systematic review and meta-analysis.,Kan C; Hawkings YR; Cribben H; Treasure J,"OBJECTIVE: Evidence regarding global trends in length of stay for patients with anorexia nervosa is limited. The aim of this study is to conduct a meta-analysis examining the length of stay for anorexia nervosa patients globally, and to investigate moderators of the variance. METHOD: Medline, EMBASE and PsycINFO were searched for studies published up to January 2019. Two independent reviewers assessed the eligibility of each report based on predefined inclusion criteria. A meta-analysis was performed to calculate a pooled mean length of stay using the random-effects model. Subgroup analyses and meta-regression were conducted to explore potential sources of heterogeneity between studies. RESULTS: Of 305 abstracts reviewed, 71 studies met the inclusion criteria, generating 111 datasets. The pooled mean length of stay (95% confidence interval) was 76.3 days (73.3, 79.4) using the random-effects model, with marked variation across countries and time. Heterogeneity between studies was explained by age and admission body mass index. CONCLUSIONS: This meta-analysis found that although clinical features do contribute to length of admissions for anorexia nervosa, there are also global and temporal variations. Future research should provide an in-depth analysis of why and how this variation exists and what the impact is on the well-being of people with anorexia nervosa.",2021,May,Eur Eat Disord Rev,29,3,371-392,,10.1002/erv.2820,33548148,#62,Kan 2021,,Anorexia; Treatment,
Direct economic burden of mental health disorders associated with polycystic ovary syndrome: Systematic review and meta-analysis.,Yadav S; Delau O; Bonner AJ; Markovic D; Patterson W; Ottey S; Buyalos RP; Azziz R,"BACKGROUND: Polycystic ovary syndrome (PCOS) is the most common hormone disorder affecting about one in seven reproductive-aged women worldwide and approximately 6 million women in the United States (U.S.). PCOS can be a significant burden to those affected and is associated with an increased prevalence of mental health (MH) disorders such as depression, anxiety, eating disorders, and postpartum depression. We undertook this study to determine the excess economic burden associated with MH disorders in women with PCOS in order to allow for a more accurate prioritization of the disorder as a public health priority. METHODS: Following PRISMA reporting guidelines for systematic review, we searched PubMed, Web of Science, EBSCO, Medline, Scopus, and PsycINFO through July 16, 2021, for studies on MH disorders in PCOS. Excluded were studies not in humans, without controls, without original data, or not peer reviewed. As anxiety, depression, eating disorders, and postpartum depression were by far the most common MH disorders assessed by the studies, we performed our meta-analysis on these disorders. Meta-analyses were performed using the DerSimonian-Laird random effects model to compute pooled estimates of prevalence ratios (PRs) for the associations between PCOS and these MH disorders and then calculated the excess direct costs related to these disorders in U.S. dollars (USD) for women suffering from PCOS in the U.S. alone. The quality of selected studies was assessed using the Newcastle-Ottawa Scale. RESULTS: We screened 78 articles by title/abstract, assessed 43 articles in full text, and included 25 articles. Pooled PRs were 1.42 (95% confidence interval [CI]: 1.32-1.52) for anxiety, 1.65 (95% CI: 1.44-1.89) for depression, 1.48 (95% CI: PR: 1.06-2.05) for eating disorders, and 1.20 (95% CI: 0.96-1.50) for postpartum depression, for PCOS relative to controls. In the U.S., the additional direct healthcare costs associated with anxiety, depression, and eating disorders in PCOS were estimated to be $1.939 billion/yr, $1.678 billion/yr, and $0.644 billion/yr in 2021 USD, respectively. Postpartum depression was excluded from the cost analyses due to the non-significant meta-analysis result. Taken together, the additional direct healthcare costs associated with anxiety, depression, and eating disorders in PCOS were estimated to be $4.261 billion/yr in 2021 USD. CONCLUSIONS: Overall, the direct healthcare annual costs for the most common MH disorders in PCOS, namely anxiety, depression, and eating disorders, exceeds $4 billion in 2021 USD for the U.S. population alone. Taken together with our prior work, these data suggest that the healthcare-related economic burden of PCOS exceeds $15 billion yearly, considering the costs of PCOS diagnosis, and costs related to PCOS-associated MH, reproductive, vascular, and metabolic disorders. As PCOS has much the same prevalence across the world, the excess economic burden attributable to PCOS globally is enormous, mandating that the scientific and policy community increase its focus on this important disorder. FUNDING: The study was supported, in part, by PCOS Challenge: The National Polycystic Ovary Syndrome Association and by the Foundation for Research and Education Excellence.",2023,Aug,Elife,12,,,,10.7554/eLife.85338,37534878,#66,Yadav 2023,,ED is a sub-group analysis only; medical comorbidity,
Maternal Eating Disorders and Adverse Birth Outcomes: A Systematic Review and Meta-Analysis.,Milembamane M. MScFN; Moussa N.M. MScFN; Twynstra J. PhD; Seabrook J.A. PhD,"Previous systematic reviews have reported on the relationship between eating disorders (EDs) and birth outcomes, but there are no existing meta-analyses on this topic. This systematic review and meta-analysis examines the association between lifetime maternal EDs, including anorexia nervosa (AN), bulimia nervosa (BN), and binge-eating disorder (BED) with low birth weight (LBW), preterm birth (PTB), small for gestational age (SGA), large for gestational age (LGA), and miscarriage. Four databases were systematically searched for quantitative literature on maternal EDs that preceded birth outcomes. Eighteen studies met the inclusion criteria and were included in the review. The meta-analyses included 6 studies on miscarriage, 11 on PTB, 4 on LBW, 9 on SGA, and 4 on LGA. The Mantel-Haenszel random effects model was used to test the associations between EDs and birth outcomes. The results showed significant positive associations between AN and LBW (OR 1.74, 95% confidence interval (CI) 1.49, 2.03), AN and SGA (OR 1.39, 95% CI 1.17, 1.65), BN and PTB (OR 1.19, 95% CI 1.04, 1.36), and BED and LGA (OR 1.43 95% CI 1.18, 1.72). EDs were not significantly correlated with miscarriage. These findings reveal the importance of screening for and treating EDs in pregnant women.",2024,Mar,Can J Diet Pract Res,85,1,45-53,,10.3148/cjdpr-2023-019,38032141,#67,Milembamane 2024,,Longer term outcomes; medical aspects of ED,
Dysfunctional decision-making in binge-eating disorder: A meta-analysis and systematic review.,Colton E; Wilson KE; Chong TT; Verdejo-Garcia A,"Binge-Eating Disorder (BED) involves anticipatory craving and urges, subjective loss-of-control during binge-eating episodes, and post-feeding psychological distress and guilt. Evidence indicates neurocognitive dysfunctions contribute to BED onset, maintenance, and treatment response. However, an integrated understanding of how cognitive processes underpin BED symptomology is lacking. We utilised a multi-stage decision-making model defining ten cognitive processes underpinning Preference Formation, Choice Implementation, Feedback Processing, and Flexibility/Shifting, to comprehensively review research published since 2013. We used preregistered PICOS criteria to assess 1966 articles identified from PubMed, PsycInfo, and Scopus database searches. This yielded 50 studies reporting behavioural cognitive tasks outcomes, comparing individuals with BED to controls with normal and higher weight. Meta-analyses revealed a unique profile of cognitive dysfunctions that spanned all decision-making stages. Significant deficits were evident in Uncertainty Evaluation, Attentional Inhibition, Choice Consistency, and Cognitive Flexibility/Set-shifting. We propose a novel model of dysfunctional decision-making processes in BED and describe their role in binge-eating behaviour. We further highlight the potential for cognitive interventions to target these processes and address the significant treatment gap in BED.",2023,Sep,Neurosci Biobehav Rev,152,,105250,,10.1016/j.neubiorev.2023.105250,37263530,#68,Colton 2023,,Binge-eating disorder; Neurocognition,
Predictors of relapse in eating disorders: A meta-analysis.,Sala M; Keshishian A; Song S; Moskowitz R; Bulik CM; Roos CR; Levinson CA,"INTRODUCTION: Eating disorders (EDs) have high rates of relapse. However, it is still not clear which factors are the strongest predictors of ED relapse, and the extent to which predictors of relapse may vary due to study and individual differences. OBJECTIVE: We conducted a meta-analysis to quantify and compare which factors predict relapse in EDs and evaluate various potential moderators of these relations (e.g., ED subtype, sample age, length of follow-up, timing of predictor assessment, relapse operationalization). METHODS: A total of 35 papers (effects = 315) were included. We used a multilevel random-effects model to estimate summary study-level effect sizes, and multilevel mixed-effects models to examine moderator effects. RESULTS: Higher level of care, having psychiatric comorbidity, and higher severity of ED psychopathology were associated with higher odds of relapse. Higher leptin, higher meal energy density/variety, higher motivation for change, higher body mass index/weight/body fat, better response to treatment, anorexia nervosa-restricting (vs. anorexia nervosa-binge purge) subtype diagnosis, and older age of ED onset were associated with lower odds of relapse. Several moderators were identified. DISCUSSION: A variety of variables can predict ED relapse. Furthermore, predictors of ED relapse vary among ED subtypes, sample ages, lengths of follow-up, timing of predictor assessments, and relapse operationalization. Future research should identify the mechanisms by which these variables may contribute to relapse.",2023,Feb,J Psychiatr Res,158,,281-299,,10.1016/j.jpsychires.2023.01.002,36623362,#69,Sala 2023,,Longer term outcomes,
Cognitive function in binge eating disorder and food addiction: A systematic review and three-level meta-analysis.,Iceta S; Rodrigue C; Legendre M; Daoust J; Flaudias V; Michaud A; Bégin C,"BACKGROUND: An extensive body of recent research has focused on the contribution of cognitive functioning to eating behaviors. In binge eating disorder (BED) and food addiction (FA), the extent of cognitive impairment is still unclear. This study aimed to characterize, among those with BED and FA, neurocognitive functions using performances based on neuropsychological tasks in the context of neutral stimuli in adults. METHOD: MEDLINE, Embase, PsycINFO, Cochrane Database of Systematic Reviews, CINAHL and gray literature (ProQuest and OpenGrey) were used to identify studies that reported neurocognitive assessments in BED or FA up to December 2019. A three-level meta-analysis was conducted. RESULTS: A significant overall effect was found for global cognitive impairments, suggesting that individuals with BED or FA have poorer performances when completing cognitive tasks. Analyses for specific cognitive domains revealed that individuals with BED showed poorer performances at tasks assessing cognitive flexibility, inhibitory control, attention and planning. Analyses regarding FA were inconclusive due to a lack of studies. Thus, the results were described qualitatively. CONCLUSION: Our meta-analysis highlighted the cognitive weaknesses that seem to come with BED and the necessity to integrate them in the assessment and treatment of this condition. It also stressed the lack of quality studies surrounding the cognitive features of FA.",2021,Dec,Prog Neuropsychopharmacol Biol Psychiatry,111,,110400,,10.1016/j.pnpbp.2021.110400,34256024,#70,Iceta 2021,,Binge-eating disorder; Neurocognition,
Disgust and Self-Disgust in Eating Disorders: A Systematic Review and Meta-Analysis.,Bektas S; Keeler JL; Anderson LM; Mutwalli H; Himmerich H; Treasure J,"Disgust and self-disgust are aversive emotions which are often encountered in people with eating disorders. We conducted a systematic review and meta-analysis of disgust and self-disgust in people with eating disorders using Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. The systematic review of the literature revealed 52 original research papers. There was substantial heterogeneity regarding the research question and outcomes. However, we found 5 articles on disgust elicited by food images, 10 studies on generic disgust sensitivity, and 4 studies on self-disgust, and we proceeded to a meta-analytic approach on these studies. We found that women with eating disorders have significantly higher momentary disgust feelings in response to food images (1.32; 95% CI 1.05, 1.59), higher generic disgust sensitivity (0.49; 95% CI 0.24, 0.71), and higher self-disgust (1.90; 95% CI 1.51, 2.29) compared with healthy controls. These findings indicate the potential clinical relevance of disgust and self-disgust in the treatment of eating disorders.",2022,Apr,Nutrients,14,9,,,10.3390/nu14091728,35565699,#73,Bektas 2022,,ED phenomenology,
Compulsory treatments in eating disorders: a systematic review and meta-analysis.,Atti AR; Mastellari T; Valente S; Speciani M; Panariello F; De Ronchi D,"INTRODUCTION: The aims of this systematic review and meta-analysis are to provide a summary of the current literature concerning compulsory treatments in patients with eating disorders (ED) and to understand whether compulsorily and involuntarily treated patients differ in terms of baseline characteristics and treatment outcomes. METHODS: Relevant articles were identified following the PRISMA guidelines by searching the following terms: ""treatment refusal"", ""forced feeding"", ""compulsory/coercive/involuntary/forced treatment/admission"", ""eating disorders"", ""feeding and eating disorders"", ""anorexia nervosa"", ""bulimia nervosa"". Research was restricted to articles concerning humans and published between 1975 and 2020 in English. RESULTS: Out of 905 articles retrieved, nine were included for the analyses allowing the comparisons between 242 compulsorily and 738 voluntarily treated patients. Mean body mass index (BMI) was slightly lower in patients compelled to treatments. Mean illness duration, BMI at discharge and BMI variation showed no significant differences between the two groups. Average length of hospitalization was 3 weeks longer among compulsory-treated patients, but this did not result in a higher increase in BMI. No significant risk difference on mortality was estimated (three studies). CONCLUSIONS: Compulsory treatments are usually intended for patients having worse baseline conditions than voluntary ones. Those patients are unlikely to engage in treatments without being compelled but, after the treatments, albeit with longer hospitalisations, they do achieve similar outcomes. Therefore, we can conclude that forcing patients to treatment is a conceivable option. LEVEL OF EVIDENCE: Level I, systematic review and meta-analysis.",2021,May,Eat Weight Disord,26,4,1037-1048,,10.1007/s40519-020-01031-1,33099675,#75,Atti 2021,,Treatment,
Dietary intake of adults with eating disorders: A systematic review and meta-analysis.,Jenkins PE; Proctor K; Snuggs S,"Studies have confirmed the link between altered dietary intake and eating disorders (EDs), although no systematic assessment of this research exists. Rigorous synthesis of dietary intake in anorexia nervosa (AN), bulimia nervosa (BN), binge-eating disorder (BED), and similar EDs is needed to explore similarities and differences. In accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses statement, we conducted a systematic review and quantitative synthesis of studies of dietary intake. Searches of three electronic databases resulted in thirty-nine included studies. Meta-analyses of subsets of these studies were undertaken to summarise macronutrient intake across AN, BN, and BED. Study quality was assessed using the American Academy of Nutrition and Dietetics Quality Criteria Checklist, with ratings either Positive (k = 27) or Neutral (k = 12). Adults with AN had low energy intake and those with BED reported elevated macronutrient intake. Individuals with BN reported wide variation in energy intake, including some of the highest estimates. Individuals with AN were likely to under-consume key micronutrients, with sodium potentially over-consumed in BN and BED. Vitamin D was under-consumed across all disorders. This meta-analysis highlights important diagnostic differences and synthesises dietary intake in EDs, with particular relevance to risk assessment and treatment.",2024,Jul,J Psychiatr Res,175,,393-404,,10.1016/j.jpsychires.2024.05.038,38772131,#76,Jenkins 2024,,Eating behvaior,
